RepNam	halfLive_h	Ensembl_Gene	RefSeq_nuc1	Ensembl_nuc
NM_138370	1.98 	ENSG00000162878.13	NM_138370	ENST00000294964.6
NM_001039664	1.98 			
NM_148966	1.98 			
NM_148965	1.98 			
NM_148970	1.98 			
NM_148967	1.98 			
NM_003790	1.98 	ENSG00000215788.11	NM_003790	ENST00000356876.8
NM_000894	1.98 	ENSG00000104826.15	NM_000894	ENST00000649238.3
NM_014079	1.98 	ENSG00000163884.4	NM_014079	ENST00000296233.4
NM_001045476	1.98 	ENSG00000136918.8	NM_001045476	ENST00000373574.2
NM_024639	1.98 	ENSG00000181315.11	NM_024639	ENST00000415922.7
NM_033411	1.98 	ENSG00000013392.8	NM_033411	ENST00000369724.5
NM_002083	1.98 	ENSG00000176153.13	NM_002083	ENST00000389614.6
NM_001007533	1.98 	ENSG00000182676.5	NM_001007533	ENST00000330261.5
NM_148979	1.98 			
NM_004390	1.98 	ENSG00000103811.18	NM_004390	ENST00000220166.10
NM_023940	1.98 	ENSG00000128045.7	NM_023940	ENST00000248706.5
NM_005293	2.00 	ENSG00000204882.4	NM_005293	ENST00000377741.4
NM_152485	2.00 	ENSG00000162757.4	NM_152485	ENST00000294811.2
NM_006763	2.00 	ENSG00000159388.6	NM_006763	ENST00000290551.5
NM_006300	2.00 	ENSG00000159882.13	NM_006300	ENST00000429154.7
NM_203403	2.00 	ENSG00000153714.6	NM_203403	ENST00000319264.4
NM_032521	2.02 	ENSG00000124171.9	NM_032521	ENST00000371610.7
NM_021146	2.02 	ENSG00000171819.5	NM_021146	ENST00000376819.4
NM_007147	2.02 	ENSG00000105497.8	NM_007147	ENST00000262259.7
NM_182699	2.02 	ENSG00000184735.7	NM_182699	ENST00000327968.7
NM_012342	2.04 	ENSG00000095739.11	NM_012342	ENST00000375533.6
NM_001024675	2.04 	ENSG00000288649.2	NM_001024675	ENST00000677665.1
NM_152268	2.04 	ENSG00000162396.6	NM_152268	ENST00000371279.4
NM_024310	2.04 	ENSG00000166289.6	NM_024310	ENST00000436066.4
NM_213598	2.04 	ENSG00000178229.8	NM_213598	ENST00000321545.5
NM_014383	2.04 	ENSG00000011590.14	NM_014383	ENST00000392197.7
NM_025231	2.04 	ENSG00000196812.6	NM_025231	ENST00000340487.5
NM_001008404	2.04 	ENSG00000184601.11	NM_001008404	ENST00000557649.6
NM_001004055	2.04 			
NM_012163	2.04 			
NM_152465	2.04 			
NM_017565	2.04 	ENSG00000108950.12	NM_017565	ENST00000592554.2
NM_001335	2.04 	ENSG00000172543.9	NM_001335	ENST00000307886.8
NM_020801	2.06 	ENSG00000113369.9	NM_020801	ENST00000265138.4
NM_005199	2.06 	ENSG00000196811.13	NM_005199	ENST00000651502.1
NM_014484	2.06 	ENSG00000124217.5	NM_014484	ENST00000244051.3
NM_018444	2.06 	ENSG00000164951.16	NM_018444	ENST00000297598.5
NM_138455	2.06 	ENSG00000164932.13	NM_138455	ENST00000330295.10
NM_025195	2.06 	ENSG00000173334.4	NM_025195	ENST00000311922.4
NM_018566	2.06 	ENSG00000180667.11	NM_018566	ENST00000315927.9
NM_001559	2.06 			
NM_006472	2.06 	ENSG00000265972.6	NM_006472	ENST00000582401.6
NM_198480	2.06 			
NM_020169	2.06 	ENSG00000079257.8	NM_020169	ENST00000264265.4
NM_181727	2.06 	ENSG00000186451.2	NM_181727	ENST00000334325.2
NM_001001712	2.06 	ENSG00000187922.14	NM_001001712	ENST00000497771.6
NM_005384	2.06 	ENSG00000165030.4	NM_005384	ENST00000297689.4
NM_006647	2.06 			
NM_024014	2.06 	ENSG00000106006.6	NM_024014	ENST00000222728.3
NM_001014830	2.06 			
NM_018348	2.06 	ENSG00000180917.18	NM_018348	ENST00000434935.7
NM_003885	2.06 	ENSG00000176749.9	NM_003885	ENST00000313401.4
NM_148886	2.06 			
NM_139162	2.06 	ENSG00000177427.13	NM_139162	ENST00000323019.9
NM_203371	2.06 	ENSG00000176971.4	NM_203371	ENST00000318627.4
NM_003772	2.06 			
NM_183375	2.06 	ENSG00000189099.12	NM_183375	ENST00000455694.7
NM_020177	2.08 	ENSG00000145780.8	NM_020177	ENST00000274457.5
NM_001002919	2.08 	ENSG00000189292.16	NM_001002919	ENST00000403610.9
NM_016544	2.08 	ENSG00000115137.12	NM_016544	ENST00000264711.7
NM_025203	2.08 	ENSG00000163026.12	NM_025203	ENST00000295148.9
NM_012476	2.08 	ENSG00000116035.4	NM_012476	ENST00000234392.3
NM_006242	2.08 	ENSG00000132825.7	NM_006242	ENST00000370996.5
NM_000825	2.08 			
NM_018364	2.08 	ENSG00000081019.14	NM_018364	ENST00000261441.9
NM_052943	2.08 	ENSG00000158246.8	NM_052943	ENST00000289166.6
NM_004433	2.08 	ENSG00000163435.16	NM_004433	ENST00000367284.10
NM_024869	2.08 	ENSG00000197245.6	NM_024869	ENST00000374268.5
NM_133444	2.08 	ENSG00000167625.11	NM_133444	ENST00000301215.8
NM_152791	2.08 	ENSG00000186300.12	NM_152791	ENST00000334241.9
NM_145071	2.08 	ENSG00000114737.16	NM_145071	ENST00000348721.4
NM_138333	2.08 	ENSG00000187866.10	NM_138333	ENST00000394264.7
NM_014830	2.08 	ENSG00000166860.3	NM_014830	ENST00000300101.3
NM_017633	2.08 	ENSG00000112773.16	NM_017633	ENST00000320172.11
NM_003532	2.08 	ENSG00000274750.3	NM_003532	ENST00000614911.3
NM_152457	2.08 	ENSG00000167981.7	NM_152457	ENST00000301744.7
NM_024712	2.08 	ENSG00000102890.16	NM_024712	ENST00000393997.8
NM_003955	2.08 	ENSG00000184557.4	NM_003955	ENST00000330871.3
NM_024784	2.08 			
NM_145805	2.08 	ENSG00000159556.10	NM_145805	ENST00000290759.9
NM_001001703	2.11 			
NM_004040	2.11 	ENSG00000143878.10	NM_004040	ENST00000272233.6
NM_138395	2.11 	ENSG00000247626.5	NM_138395	ENST00000282276.8
NM_001017396	2.11 			
NM_021088	2.11 	ENSG00000275111.5	NM_021088	ENST00000614034.5
NM_001008490	2.11 			
NM_001300	2.11 	ENSG00000067082.15	NM_001300	ENST00000497571.6
NM_024747	2.11 	ENSG00000166189.8	NM_024747	ENST00000299238.7
NM_019058	2.11 	ENSG00000168209.6	NM_019058	ENST00000307365.4
NM_198391	2.11 	ENSG00000125848.10	NM_198391	ENST00000341420.5
NM_013281	2.11 			
NM_080489	2.11 	ENSG00000125775.15	NM_080489	ENST00000360779.4
NM_015685	2.11 			
NM_080752	2.11 	ENSG00000132801.7	NM_080752	ENST00000255152.3
NM_053001	2.11 			
NM_016102	2.11 	ENSG00000162931.12	NM_016102	ENST00000366698.7
NM_001024941	2.11 			
NM_001024940	2.11 			
NM_144728	2.11 			
NM_007207	2.11 	ENSG00000143507.18	NM_007207	ENST00000366899.4
NM_144729	2.11 			
NM_002928	2.11 	ENSG00000143333.7	NM_002928	ENST00000367558.6
NM_030634	2.11 			
NM_001077195	2.11 	ENSG00000125945.15	NM_001077195	ENST00000314011.9
NM_138417	2.11 	ENSG00000198841.4	NM_138417	ENST00000371614.2
NM_001441	2.11 	ENSG00000117480.16	NM_001441	ENST00000243167.9
NM_152835	2.11 	ENSG00000175087.10	NM_152835	ENST00000374269.2
NM_032838	2.11 			
NM_013256	2.11 			
NM_203344	2.11 	ENSG00000167565.13	NM_203344	ENST00000322354.4
NM_013368	2.11 			
NM_145287	2.11 	ENSG00000175322.12	NM_145287	ENST00000590202.3
NM_003489	2.11 	ENSG00000180530.11	NM_003489	ENST00000318948.7
NM_014805	2.11 	ENSG00000178567.8	NM_014805	ENST00000322716.8
NM_016474	2.11 	ENSG00000154781.17	NM_016474	ENST00000383794.7
NM_001010907	2.11 			
NM_003408	2.11 	ENSG00000136866.14	NM_003408	ENST00000374227.8
NM_138432	2.11 			
NM_012177	2.11 	ENSG00000112029.10	NM_012177	ENST00000229758.8
NM_152735	2.11 	ENSG00000213588.6	NM_152735	ENST00000395064.3
NM_013262	2.11 	ENSG00000007944.15	NM_013262	ENST00000356840.8
NM_001015072	2.11 	ENSG00000176125.7	NM_001015072	ENST00000388761.4
NM_006980	2.11 	ENSG00000127989.14	NM_006980	ENST00000351870.8
NM_012328	2.11 	ENSG00000128590.5	NM_012328	ENST00000249356.4
NM_001014444	2.11 			
NM_001888	2.11 			
NM_052838	2.11 			
NM_152652	2.11 			
NM_005353	2.11 	ENSG00000156886.12	NM_005353	ENST00000389202.3
NM_005853	2.11 	ENSG00000176842.16	NM_005853	ENST00000394636.9
NM_014519	2.11 	ENSG00000167840.14	NM_014519	ENST00000250076.8
NM_207387	2.11 			
NM_001661	2.11 	ENSG00000175906.5	NM_001661	ENST00000320033.5
NM_009587	2.11 	ENSG00000168961.17	NM_009587	ENST00000395473.7
NM_002308	2.11 			
NM_001029859	2.11 	ENSG00000188997.8	NM_001029859	ENST00000340067.4
NM_014743	2.11 	ENSG00000170871.12	NM_014743	ENST00000307659.6
NM_145715	2.11 	ENSG00000180346.5	NM_145715	ENST00000603357.3
NM_002202	2.13 	ENSG00000016082.15	NM_002202	ENST00000230658.12
NM_002908	2.13 			
NM_005798	2.13 			
NM_001007278	2.13 			
NM_213590	2.13 	ENSG00000204977.10	NM_213590	ENST00000378182.4
NM_052811	2.13 			
NM_005800	2.13 	ENSG00000132952.12	NM_005800	ENST00000255304.9
NM_032859	2.13 	ENSG00000139826.6	NM_032859	ENST00000375898.4
NM_145312	2.13 	ENSG00000198298.13	NM_145312	ENST00000361807.8
NM_006526	2.13 	ENSG00000171940.14	NM_006526	ENST00000371471.7
NM_015435	2.13 			
NM_183419	2.13 	ENSG00000034677.13	NM_183419	ENST00000341084.7
NM_001037234	2.13 			
NM_181702	2.13 			
NM_005261	2.13 	ENSG00000164949.8	NM_005261	ENST00000297596.3
NM_175876	2.13 	ENSG00000116903.7	NM_175876	ENST00000366645.1
NM_012482	2.13 			
NM_016545	2.13 	ENSG00000162783.11	NM_016545	ENST00000367577.7
NM_001008896	2.13 			
NM_138479	2.13 			
NM_017638	2.13 	ENSG00000130772.14	NM_017638	ENST00000373842.9
NM_017879	2.13 	ENSG00000083817.9	NM_017879	ENST00000196489.4
NM_025040	2.13 	ENSG00000142556.19	NM_025040	ENST00000270649.11
NM_206894	2.13 	ENSG00000197863.9	NM_206894	ENST00000356725.9
NM_021030	2.13 	ENSG00000105708.9	NM_021030	ENST00000344099.4
NM_001010851	2.13 	ENSG00000196214.11	NM_001010851	ENST00000439461.6
NM_013398	2.13 			
NM_020880	2.13 			
NM_198089	2.13 	ENSG00000204920.11	NM_198089	ENST00000270014.7
NM_003445	2.13 			
NM_152603	2.13 			
NM_153608	2.13 	ENSG00000178150.10	NM_153608	ENST00000595607.6
NM_013362	2.13 	ENSG00000256294.8	NM_013362	ENST00000262894.11
NM_178544	2.13 	ENSG00000187187.14	NM_178544	ENST00000347077.9
NM_003244	2.13 	ENSG00000177426.22	NM_003244	ENST00000343820.10
NM_173210	2.13 			
NM_173209	2.13 			
NM_174886	2.13 			
NM_173208	2.13 			
NM_170695	2.13 			
NM_173207	2.13 			
NM_173211	2.13 			
NM_015896	2.13 	ENSG00000004838.14	NM_015896	ENST00000231749.8
NM_178342	2.13 			
NM_178339	2.13 			
NM_002048	2.13 	ENSG00000180447.7	NM_002048	ENST00000298743.9
NM_031219	2.13 			
NM_032641	2.13 	ENSG00000111671.10	NM_032641	ENST00000524270.6
NM_181708	2.13 	ENSG00000186666.6	NM_181708	ENST00000333924.6
NM_001042555	2.13 			
NM_006654	2.13 			
NM_019858	2.13 	ENSG00000250510.8	NM_019858	ENST00000311268.8
NM_014449	2.13 			
NM_018169	2.13 	ENSG00000174718.12	NM_018169	ENST00000312561.9
NM_019110	2.13 	ENSG00000187626.9	NM_019110	ENST00000377294.3
NM_001039643	2.13 			
NM_032936	2.13 	ENSG00000135211.6	NM_032936	ENST00000257663.4
NM_004496	2.13 	ENSG00000129514.8	NM_004496	ENST00000250448.5
NM_016651	2.13 			
NM_006194	2.13 			
NM_003414	2.13 	ENSG00000185947.15	NM_003414	ENST00000300870.15
NM_001005404	2.13 	ENSG00000175155.11	NM_001005404	ENST00000312655.9
NM_024631	2.13 			
NM_032424	2.13 	ENSG00000170903.12	NM_032424	ENST00000301919.9
NM_001004326	2.13 			
NM_032246	2.13 	ENSG00000183496.6	NM_032246	ENST00000329713.5
NM_024708	2.13 			
NM_198243	2.13 	ENSG00000183475.13	NM_198243	ENST00000332783.12
NM_024511	2.13 			
NM_005841	2.13 			
NM_199327	2.13 			
NM_000171	2.15 	ENSG00000145888.11	NM_000171	ENST00000274576.9
NM_004417	2.15 	ENSG00000120129.6	NM_004417	ENST00000239223.4
NM_004418	2.15 	ENSG00000158050.5	NM_004418	ENST00000288943.5
NM_144949	2.15 	ENSG00000171150.9	NM_144949	ENST00000394861.3
NM_014011	2.15 			
NM_032138	2.15 	ENSG00000120696.9	NM_032138	ENST00000379483.4
NM_031212	2.15 	ENSG00000155287.12	NM_031212	ENST00000370495.6
NM_005674	2.15 			
NM_080829	2.15 			
NM_025054	2.15 	ENSG00000175073.8	NM_025054	ENST00000310421.5
NM_006958	2.15 	ENSG00000170631.15	NM_006958	ENST00000394909.7
NM_001029976	2.15 			
NM_002467	2.15 	ENSG00000136997.21	NM_002467	ENST00000621592.8
NM_015911	2.15 			
NM_022774	2.15 			
NM_174895	2.15 	ENSG00000174788.10	NM_174895	ENST00000311069.6
NM_207333	2.15 			
NM_004831	2.15 	ENSG00000105085.11	NM_004831	ENST00000263390.8
NM_004234	2.15 	ENSG00000159917.17	NM_004234	ENST00000291182.9
NM_080662	2.15 	ENSG00000104883.8	NM_080662	ENST00000221480.6
NM_014650	2.15 	ENSG00000256087.7	NM_014650	ENST00000221315.10
NM_021216	2.15 			
NM_002229	2.15 	ENSG00000171223.6	NM_002229	ENST00000302754.6
NM_001037813	2.15 	ENSG00000186026.7	NM_001037813	ENST00000421176.4
NM_014872	2.15 	ENSG00000168795.5	NM_014872	ENST00000307750.5
NM_006626	2.15 	ENSG00000186130.5	NM_006626	ENST00000373659.4
NM_012210	2.15 	ENSG00000119401.11	NM_012210	ENST00000450136.2
NM_003558	2.15 	ENSG00000107242.20	NM_003558	ENST00000265382.8
NM_001031687	2.15 			
NM_032786	2.15 	ENSG00000135482.7	NM_032786	ENST00000257940.7
NM_004064	2.15 	ENSG00000111276.12	NM_004064	ENST00000228872.9
NM_003192	2.15 	ENSG00000124659.7	NM_003192	ENST00000372876.2
NM_005627	2.15 			
NM_001010868	2.15 	ENSG00000203872.7	NM_001010868	ENST00000388923.5
NM_001010844	2.15 	ENSG00000146243.14	NM_001010844	ENST00000369940.7
NM_030963	2.15 			
NM_001039754	2.15 			
NM_017658	2.15 	ENSG00000179454.14	NM_017658	ENST00000396128.9
NM_005252	2.15 	ENSG00000170345.10	NM_005252	ENST00000303562.9
NM_052944	2.15 			
NM_020786	2.15 	ENSG00000172840.7	NM_020786	ENST00000311765.4
NM_001451	2.15 	ENSG00000103241.7	NM_001451	ENST00000262426.6
NM_144657	2.15 			
NM_016261	2.15 	ENSG00000108423.15	NM_016261	ENST00000325752.8
NM_006456	2.15 	ENSG00000070731.11	NM_006456	ENST00000225276.10
NM_052857	2.15 	ENSG00000198783.6	NM_052857	ENST00000361952.5
NM_018019	2.15 	ENSG00000141026.6	NM_018019	ENST00000268711.4
NM_144664	2.15 	ENSG00000077458.13	NM_144664	ENST00000358780.10
NM_017704	2.15 	ENSG00000168876.9	NM_017704	ENST00000544612.6
NM_207380	2.15 	ENSG00000188549.13	NM_207380	ENST00000397536.7
NM_183376	2.15 	ENSG00000140450.9	NM_183376	ENST00000268042.7
NM_020234	2.15 			
NM_024028	2.17 	ENSG00000145882.11	NM_024028	ENST00000274569.9
NM_016618	2.17 	ENSG00000172086.9	NM_016618	ENST00000347055.4
NM_005168	2.17 	ENSG00000115963.14	NM_005168	ENST00000263895.9
NM_001692	2.17 	ENSG00000116039.13	NM_001692	ENST00000234396.10
NM_014562	2.17 	ENSG00000115507.10	NM_014562	ENST00000282549.7
NM_006577	2.17 	ENSG00000170340.11	NM_006577	ENST00000301998.5
NM_005398	2.17 	ENSG00000119938.9	NM_005398	ENST00000238994.6
NM_024942	2.17 	ENSG00000119965.13	NM_024942	ENST00000481909.2
NM_207371	2.17 	ENSG00000180592.17	NM_207371	ENST00000449193.7
NM_183005	2.17 	ENSG00000152464.15	NM_183005	ENST00000378197.5
NM_006414	2.17 			
NM_002655	2.17 	ENSG00000181690.8	NM_002655	ENST00000316981.8
NM_024607	2.17 	ENSG00000173281.5	NM_024607	ENST00000310455.4
NM_003724	2.17 	ENSG00000234616.9	NM_003724	ENST00000612905.2
NM_032833	2.17 	ENSG00000158615.10	NM_032833	ENST00000367188.5
NM_019099	2.17 	ENSG00000197852.12	NM_019099	ENST00000357260.6
NM_198926	2.17 			
NM_033213	2.17 	ENSG00000277462.2	NM_033213	ENST00000366503.3
NM_002379	2.17 	ENSG00000162510.6	NM_002379	ENST00000373765.5
NM_152500	2.17 			
NM_001993	2.17 	ENSG00000117525.14	NM_001993	ENST00000334047.12
NM_152281	2.17 	ENSG00000120370.14	NM_152281	ENST00000367763.8
NM_170725	2.17 	ENSG00000185220.12	NM_170725	ENST00000329291.6
NM_001017434	2.17 			
NM_032872	2.17 			
NM_002923	2.17 	ENSG00000116741.8	NM_002923	ENST00000235382.7
NM_025079	2.17 	ENSG00000163874.11	NM_025079	ENST00000373087.7
NM_144686	2.17 	ENSG00000167608.12	NM_144686	ENST00000619895.5
NM_144976	2.17 	ENSG00000249709.8	NM_144976	ENST00000339282.12
NM_152353	2.17 	ENSG00000160318.6	NM_152353	ENST00000291715.5
NM_152289	2.17 	ENSG00000171469.11	NM_152289	ENST00000302851.8
NM_001039654	2.17 			
NM_198855	2.17 			
NM_006385	2.17 	ENSG00000121417.14	NM_006385	ENST00000240731.5
NM_021910	2.17 			
NM_005971	2.17 	ENSG00000089356.19	NM_005971	ENST00000604404.6
NM_001040185	2.17 	ENSG00000196417.13	NM_001040185	ENST00000396408.8
NM_173632	2.17 	ENSG00000152443.13	NM_173632	ENST00000317178.10
NM_152303	2.17 			
NM_024840	2.17 			
NM_001031721	2.17 	ENSG00000176024.18	NM_001031721	ENST00000293471.11
NM_013361	2.17 	ENSG00000178386.13	NM_013361	ENST00000434772.8
NM_004232	2.17 	ENSG00000170677.6	NM_004232	ENST00000397942.4
NM_020307	2.17 	ENSG00000163660.12	NM_020307	ENST00000295926.8
NM_033027	2.17 	ENSG00000144655.15	NM_033027	ENST00000273153.10
NM_153268	2.17 			
NM_001005474	2.17 			
NM_031419	2.17 	ENSG00000144802.11	NM_031419	ENST00000326172.9
NM_203434	2.17 	ENSG00000188483.8	NM_203434	ENST00000372491.4
NM_203453	2.17 	ENSG00000205808.7	NM_203453	ENST00000381883.5
NM_017913	2.17 	ENSG00000106993.12	NM_017913	ENST00000381854.4
NM_000889	2.17 	ENSG00000139626.16	NM_000889	ENST00000267082.10
NM_002309	2.17 	ENSG00000128342.5	NM_002309	ENST00000249075.4
NM_007149	2.17 			
NM_004277	2.17 	ENSG00000153291.16	NM_004277	ENST00000371347.10
NM_001004317	2.17 	ENSG00000187772.8	NM_001004317	ENST00000345080.5
NM_020931	2.17 	ENSG00000168116.14	NM_020931	ENST00000370733.5
NM_003107	2.17 	ENSG00000124766.7	NM_003107	ENST00000244745.4
NM_020781	2.17 			
NM_170686	2.17 	ENSG00000197024.9	NM_170686	ENST00000475153.6
NM_212460	2.17 			
NM_001037164	2.17 			
NM_005738	2.17 	ENSG00000122644.13	NM_005738	ENST00000651779.1
NM_020529	2.17 	ENSG00000100906.12	NM_020529	ENST00000216797.10
NM_001040662	2.17 			
NM_024558	2.17 	ENSG00000100483.14	NM_024558	ENST00000395860.7
NM_003031	2.17 	ENSG00000196470.12	NM_003031	ENST00000394725.3
NM_001006610	2.17 			
NM_014699	2.17 	ENSG00000167395.10	NM_014699	ENST00000300850.5
NM_003450	2.17 	ENSG00000103343.13	NM_003450	ENST00000268655.5
NM_001032292	2.17 			
NM_024297	2.17 	ENSG00000040633.13	NM_024297	ENST00000320316.8
NM_020649	2.17 	ENSG00000141570.11	NM_020649	ENST00000269385.9
NM_024039	2.17 			
NM_021211	2.17 			
NM_173811	2.17 	ENSG00000180423.4	NM_173811	ENST00000326737.3
NM_000280	2.17 			
NM_001604	2.17 			
NM_006831	2.17 	ENSG00000172409.7	NM_006831	ENST00000533682.2
NM_152316	2.17 	ENSG00000152219.5	NM_152316	ENST00000282032.4
NM_001003942	2.17 			
NM_033503	2.17 			
NM_001003943	2.17 			
NM_001003940	2.17 	ENSG00000104081.14	NM_001003940	ENST00000354670.9
NM_152260	2.17 	ENSG00000166133.18	NM_152260	ENST00000315616.12
NM_001189	2.17 	ENSG00000109705.8	NM_001189	ENST00000382438.6
NM_052864	2.17 	ENSG00000145365.11	NM_052864	ENST00000361717.4
NM_032765	2.20 			
NM_020666	2.20 	ENSG00000113240.14	NM_020666	ENST00000316308.9
NM_004270	2.20 	ENSG00000155868.8	NM_004270	ENST00000286317.6
NM_145702	2.20 	ENSG00000221944.9	NM_145702	ENST00000408957.7
NM_014755	2.20 	ENSG00000179833.4	NM_014755	ENST00000313349.3
NM_001008489	2.20 	ENSG00000144362.12	NM_001008489	ENST00000359744.8
NM_002398	2.20 	ENSG00000143995.20	NM_002398	ENST00000272369.14
NM_024093	2.20 	ENSG00000135974.10	NM_024093	ENST00000258457.7
NM_152903	2.20 	ENSG00000165572.8	NM_152903	ENST00000379485.2
NM_001109	2.20 	ENSG00000151651.16	NM_001109	ENST00000445355.8
NM_005029	2.20 	ENSG00000107859.10	NM_005029	ENST00000370002.8
NM_032772	2.20 	ENSG00000165655.17	NM_032772	ENST00000372524.5
NM_003434	2.20 			
NM_001032282	2.20 			
NM_005655	2.20 	ENSG00000155090.15	NM_005655	ENST00000285407.11
NM_014789	2.20 			
NM_147189	2.20 			
NM_003395	2.20 	ENSG00000143816.8	NM_003395	ENST00000272164.6
NM_024804	2.20 			
NM_000740	2.20 			
NM_199173	2.20 	ENSG00000242252.2	NM_199173	ENST00000368272.5
NM_007034	2.20 	ENSG00000162616.9	NM_007034	ENST00000370763.6
NM_031459	2.20 	ENSG00000130766.5	NM_031459	ENST00000253063.4
NM_013380	2.20 	ENSG00000062370.17	NM_013380	ENST00000354340.9
NM_032689	2.20 	ENSG00000198182.13	NM_032689	ENST00000355202.9
NM_173480	2.20 	ENSG00000171970.14	NM_173480	ENST00000306908.10
NM_020657	2.20 	ENSG00000131845.15	NM_020657	ENST00000282286.6
NM_181846	2.20 	ENSG00000182318.6	NM_181846	ENST00000329665.5
NM_004907	2.20 	ENSG00000160888.7	NM_004907	ENST00000292433.4
NM_013359	2.20 			
NM_020639	2.20 	ENSG00000183421.12	NM_020639	ENST00000332512.8
NM_182627	2.20 	ENSG00000185798.8	NM_182627	ENST00000332629.7
NM_018133	2.20 	ENSG00000174579.5	NM_018133	ENST00000309993.3
NM_001234	2.20 			
NM_033337	2.20 	ENSG00000182533.7	NM_033337	ENST00000343849.3
NM_018657	2.20 	ENSG00000085274.16	NM_018657	ENST00000349841.10
NM_001002026	2.20 			
NM_016369	2.20 	ENSG00000066405.13	NM_016369	ENST00000183605.10
NM_173552	2.20 	ENSG00000181744.9	NM_173552	ENST00000315691.8
NM_198469	2.20 	ENSG00000185681.13	NM_198469	ENST00000373764.8
NM_006079	2.20 	ENSG00000164442.10	NM_006079	ENST00000367651.4
NM_016487	2.20 	ENSG00000130349.10	NM_016487	ENST00000311381.8
NM_002648	2.20 	ENSG00000137193.14	NM_002648	ENST00000373509.6
NM_145111	2.20 	ENSG00000221909.3	NM_145111	ENST00000449309.2
NM_017715	2.20 			
NM_032924	2.20 	ENSG00000166526.18	NM_032924	ENST00000299667.9
NM_152739	2.20 	ENSG00000078399.19	NM_152739	ENST00000343483.7
NM_152626	2.20 	ENSG00000146757.14	NM_152626	ENST00000328747.12
NM_007139	2.20 			
NM_001505	2.20 			
NM_001039966	2.20 			
NM_203309	2.20 			
NM_080867	2.20 			
NM_199421	2.20 	ENSG00000180008.9	NM_199421	ENST00000555846.2
NM_024644	2.20 	ENSG00000170468.8	NM_024644	ENST00000304061.8
NM_174943	2.20 			
NM_001013638	2.20 			
NM_030624	2.20 	ENSG00000174010.10	NM_030624	ENST00000328046.8
NM_017622	2.20 	ENSG00000196544.8	NM_017622	ENST00000389017.6
NM_020233	2.20 	ENSG00000170222.12	NM_020233	ENST00000379774.5
NM_002033	2.20 	ENSG00000196371.4	NM_002033	ENST00000358752.4
NM_001033517	2.20 			
NM_025201	2.20 	ENSG00000241839.10	NM_025201	ENST00000323544.5
NM_033211	2.22 	ENSG00000181751.10	NM_033211	ENST00000319933.7
NM_000958	2.22 	ENSG00000171522.6	NM_000958	ENST00000302472.4
NM_001024646	2.22 			
NM_004071	2.22 	ENSG00000013441.17	NM_004071	ENST00000321356.9
NM_006449	2.22 	ENSG00000163171.8	NM_006449	ENST00000295324.4
NM_173077	2.22 	ENSG00000144410.5	NM_173077	ENST00000272852.4
NM_030577	2.22 	ENSG00000144120.13	NM_030577	ENST00000272521.7
NM_002357	2.22 	ENSG00000059728.11	NM_002357	ENST00000264444.7
NM_017817	2.22 	ENSG00000139832.5	NM_017817	ENST00000267328.5
NM_153371	2.22 	ENSG00000139517.9	NM_153371	ENST00000316334.5
NM_001039799	2.22 			
NM_032199	2.22 	ENSG00000150347.17	NM_032199	ENST00000279873.12
NM_145202	2.22 	ENSG00000165828.15	NM_145202	ENST00000433452.6
NM_006038	2.22 	ENSG00000158480.11	NM_006038	ENST00000289431.10
NM_152667	2.22 	ENSG00000170191.5	NM_152667	ENST00000304788.4
NM_178331	2.22 	ENSG00000125787.11	NM_178331	ENST00000359100.6
NM_001501	2.22 			
NM_178332	2.22 			
NM_080603	2.22 	ENSG00000168612.5	NM_080603	ENST00000372523.1
NM_013248	2.22 	ENSG00000132661.4	NM_013248	ENST00000254998.3
NM_018310	2.22 	ENSG00000104221.13	NM_018310	ENST00000220659.11
NM_203390	2.22 			
NM_145214	2.22 	ENSG00000154370.16	NM_145214	ENST00000284551.11
NM_003993	2.22 			
NM_001291	2.22 			
NM_025106	2.22 	ENSG00000171621.14	NM_025106	ENST00000328089.11
NM_020897	2.22 	ENSG00000143630.10	NM_020897	ENST00000368358.4
NM_052841	2.22 	ENSG00000162526.7	NM_052841	ENST00000373534.4
NM_004364	2.22 	ENSG00000245848.3	NM_004364	ENST00000498907.3
NM_001008727	2.22 	ENSG00000197961.12	NM_001008727	ENST00000320451.7
NM_152360	2.22 			
NM_178523	2.22 	ENSG00000204611.7	NM_178523	ENST00000600228.6
NM_133473	2.22 	ENSG00000196705.8	NM_133473	ENST00000311048.11
NM_024967	2.22 	ENSG00000172000.7	NM_024967	ENST00000307635.3
NM_152604	2.22 			
NM_001008401	2.22 			
NM_022752	2.22 	ENSG00000105732.13	NM_022752	ENST00000359044.5
NM_006959	2.22 			
NM_173631	2.22 	ENSG00000152433.15	NM_173631	ENST00000282282.4
NM_145295	2.22 	ENSG00000198551.10	NM_145295	ENST00000361113.10
NM_013360	2.22 			
NM_003409	2.22 			
NM_152470	2.22 	ENSG00000141622.14	NM_152470	ENST00000269439.12
NM_020727	2.22 			
NM_002888	2.22 			
NM_206963	2.22 	ENSG00000118849.10	NM_206963	ENST00000237696.10
NM_023067	2.22 	ENSG00000183770.7	NM_023067	ENST00000648323.1
NM_016362	2.22 	ENSG00000157017.16	NM_016362	ENST00000335542.13
NM_015508	2.22 	ENSG00000163659.13	NM_015508	ENST00000295924.12
NM_173656	2.22 			
NM_003670	2.22 	ENSG00000134107.5	NM_003670	ENST00000256495.4
